# 🚨
# 🚨 Source: https://wolfberg.net/what/TWLdefs.exe::TWLdefs.txt
# 🚨
	TWL98 (2006-04-15)
bouton boutons	BOUTON n pl. -S an enlarged end of a nerve fiber
bouvier bouviers	BOUVIER n pl. -S a large dog
bouzouki bouzoukis bouzoukia	BOUZOUKI n pl. -KIA or -KIS a stringed musical instrument
bovid bovids	BOVID n pl. -S a bovine
bovine bovines	BOVINE n pl. -S an ox-like animal
bovinely	BOVINELY adv stolidly
bovinity bovinities	BOVINITY n pl. -TIES the state of being a bovine
bow bows bowing bowed	BOW v -ED, -ING, -S to bend forward
bowel bowels bowelling bowelled boweling boweled	BOWEL v -ELED, -ELING, -ELS or -ELLED, -ELLING, -ELS to disbowel
bower bowers bowering bowered	BOWER v -ED, -ING, -S to embower
bowery boweries	BOWERY n -ERIES a colonial Dutch farm
bowfin bowfins	BOWFIN n pl. -S a freshwater fish
bowfront	BOWFRONT adj having a curved front
bowhead bowheads	BOWHEAD n pl. -S an arctic whale
bowing bowings	BOWING n pl. -S the technique of managing the bow of a stringed instrument
bowingly	BOWINGLY adv in a bowing manner
bowknot bowknots	BOWKNOT n pl. -S a type of knot
bowl bowls bowling bowled	BOWL v -ED, -ING, -S to play at bowling
bowlder bowlders	BOWLDER n pl. -S boulder
bowleg bowlegs	BOWLEG n pl. -S an outwardly curved leg
bowler bowlers	BOWLER n pl. -S one that bowls
bowless	BOWLESS adj being without an archery bow
bowlful bowlfuls	BOWLFUL n pl. -S as much as a bowl can hold
bowlike	BOWLIKE adj curved
bowline bowlines	BOWLINE n pl. -S a type of knot
bowling bowlings	BOWLING n pl. -S a game in which balls are rolled at objects
bowllike	BOWLLIKE adj concave
bowman bowmen	BOWMAN n pl. -MEN an archer
bowpot bowpots	BOWPOT n pl. -S boughpot
bowse bowses bowsing bowsed	BOWSE v BOWSED, BOWSING, BOWSES to bouse
bowshot bowshots	BOWSHOT n pl. -S the distance an arrow is shot
bowsprit bowsprits	BOWSPRIT n pl. -S a ship's spar
bowwow bowwows bowwowing bowwowed	BOWWOW v -ED, -ING, -S to bark like a dog
bowyer bowyers	BOWYER n pl. -S a maker of archery bows
box boxes boxing boxed	BOX v -ED, -ING, -ES to put in a box (a rectangular container)
boxberry boxberries	BOXBERRY n pl. -RIES an evergreen plant
boxboard boxboards	BOXBOARD n pl. -S stiff paperboard
boxcar boxcars	BOXCAR n pl. -S a roofed freight car
boxer boxers	BOXER n pl. -S one that packs boxes
boxfish boxfishes	BOXFISH n pl. -ES a marine fish
boxful boxfuls	BOXFUL n pl. -S as much as a box can hold
boxhaul boxhauls boxhauling boxhauled	BOXHAUL v -ED, -ING, -S to veer a ship around
boxier	BOXIER comparative of boxy
boxiest	BOXIEST superlative of boxy
boxiness boxinesses	BOXINESS n pl. -ES the state of being boxy
boxing boxings	BOXING n pl. -S a casing
boxlike	BOXLIKE adj resembling a box
boxthorn boxthorns	BOXTHORN n pl. -S a thorny shrub
boxwood boxwoods	BOXWOOD n pl. -S an evergreen shrub
boxy	BOXY adj BOXIER, BOXIEST resembling a box
boy boys	BOY n pl. BOYS a male child
boyar boyars	BOYAR n pl. -S a former Russian aristocrat
boyard boyards	BOYARD n pl. -S boyar
boyarism boyarisms	BOYARISM n pl. -S the rule of boyars
boychick boychicks	BOYCHICK n pl. -S boychik
boychik boychiks	BOYCHIK n pl. -S a young man
boycott boycotts boycotting boycotted	BOYCOTT v -ED, -ING, -S to refuse to buy
boyhood boyhoods	BOYHOOD n pl. -S the state of being a boy
boyish boyishly	BOYISH adj resembling a boy BOYISHLY adv
boyla boylas	BOYLA n pl. -S a witch doctor
boyo boyos	BOYO n pl. BOYOS a boy
bozo bozos	BOZO n pl. -ZOS a fellow
bra bras	BRA n pl. -S a brassiere
brabble brabbles brabbling brabbled	BRABBLE v -BLED, -BLING, -BLES to quarrel noisily
brabbler brabblers	BRABBLER n pl. -S one that brabbles
brace braces bracing braced	BRACE v BRACED, BRACING, BRACES to support
bracelet bracelets	BRACELET n pl. -S a wrist ornament
bracer bracers	BRACER n pl. -S one that braces
bracero braceros	BRACERO n pl. -ROS a Mexican laborer
brach brachs braches	BRACH n pl. -ES or -S a hound bitch
brachet brachets	BRACHET n pl. -S a brach
brachial brachials	BRACHIAL n pl. -S a part of the arm
brachium brachia	BRACHIUM n pl. -IA the upper part of arm
bracing bracings	BRACING n pl. -S a brace or reinforcement
braciola braciolas	BRACIOLA n pl. -S a thin slice of meat
braciole bracioles	BRACIOLE n pl. -S braciola
bracken brackens	BRACKEN n pl. -S a large fern
bracket brackets bracketing bracketed	BRACKET v -ED, -ING, -S to classify
brackish	BRACKISH adj salty
braconid braconids	BRACONID n pl. -S any of a family of flies
bract bracted bracteal bracts	BRACT n pl. -S a leaflike plant part BRACTEAL, BRACTED adj
bractlet bractlets	BRACTLET n pl. -S a small bract
brad brads bradding bradded	BRAD v BRADDED, BRADDING, BRADS to fasten with thin nails
bradawl bradawls	BRADAWL n pl. -S a type of awl
bradoon bradoons	BRADOON n pl. -S bridoon
brae braes	BRAE n pl. -S a hillside
brag braggest bragger	BRAG adj BRAGGER, BRAGGEST first-rate
brag brags bragging bragged	BRAG v BRAGGED, BRAGGING, BRAGS to speak vainly of one's deeds
braggart braggarts	BRAGGART n pl. -S one who brags
bragger braggers	BRAGGER n pl. -S a braggart
braggest	BRAGGEST superlative of brag
bragging	BRAGGING present participle of brag
braggy braggiest braggier	BRAGGY adj -GIER, -GIEST tending to brag
brahma brahmas	BRAHMA n pl. -S a large domestic fowl
braid braids braiding braided	BRAID v -ED, -ING, -S to weave together
braider braiders	BRAIDER n pl. -S one that braids
braiding braidings	BRAIDING n pl. -S something made of braided material
brail brails brailing brailed	BRAIL v -ED, -ING, -S to haul in a sail
braille brailles brailling brailled	BRAILLE v BRAILLED, BRAILLING, BRAILLES to write in braille (raised writing for the blind)
brain brains braining brained	BRAIN v -ED, -ING, -S to hit on the head
brainier	BRAINIER comparative of brainy
brainiest	BRAINIEST superlative of brainy
brainily	BRAINILY adv in a brainy manner
brainish	BRAINISH adj impetuous
brainpan brainpans	BRAINPAN n pl. -S the skull
brainy	BRAINY adj BRAINIER, BRAINIEST smart
braise braises braising braised	BRAISE v BRAISED, BRAISING, BRAISES to cook in fat
braize braizes	BRAIZE n pl. -S a marine fish
brake brakes braking braked	BRAKE v BRAKED, BRAKING, BRAKES to slow down or stop
brakeage brakeages	BRAKEAGE n pl. -S the act of braking
brakeman brakemen	BRAKEMAN n pl. -MEN a trainman
braking	BRAKING present participle of brake
braky brakiest brakier	BRAKY adj BRAKIER, BRAKIEST abounding in shrubs or ferns
braless	BRALESS adj wearing no bra
bramble brambles brambling brambled	BRAMBLE v -BLED, -BLING, -BLES to gather berries
brambly brambliest bramblier	BRAMBLY adj -BLIER, -BLIEST prickly
bran brans branning branned	BRAN v BRANNED, BRANNING, BRANS to soak in water mixed with bran (the outer coat of cereals)
branch branches branching branched	BRANCH v -ED, -ING, -ES to form branches (offshoots)
branchia branchiae	BRANCHIA n pl. -CHIAE a respiratory organ of aquatic animals
branchy branchiest branchier	BRANCHY adj BRANCHIER, BRANCHIEST having many branches
brand brands branding branded	BRAND v -ED, -ING, -S to mark with a hot iron
brander branders	BRANDER n pl. -S one that brands
brandish brandishes brandishing brandished	BRANDISH v -ED, -ING, -ES to wave menacingly
brandy brandies brandying brandied	BRANDY v -DIED, -DYING, -DIES to mix with brandy (a liquor)
brank branks	BRANK n pl. -S a device used to restrain the tongue
branned	BRANNED past tense of bran
branner branners	BRANNER n pl. -S one that brans
branning	BRANNING present participle of bran
branny branniest brannier	BRANNY adj -NIER, -NIEST containing bran
brant brants	BRANT n pl. -S a wild goose
brantail brantails	BRANTAIL n pl. -S a singing bird
brash brashes	BRASH n pl. -ES a mass of fragments
brash brashly brashest brasher	BRASH adj BRASHER, BRASHEST rash; hasty BRASHLY adv
brashy brashiest brashier	BRASHY adj BRASHIER, BRASHIEST brash
brasier brasiers	BRASIER n pl. -S brazier
brasil brasils	BRASIL n pl. -S brazil
brasilin brasilins	BRASILIN n pl. -S brazilin
brass brasses brassing brassed	BRASS v -ED, -ING, -ES to coat with brass (an alloy of copper and zinc)
brassage brassages	BRASSAGE n pl. -S a fee for coining money
brassard brassards	BRASSARD n pl. -S an insignia
brassart brassarts	BRASSART n pl. -S brassard
brassica brassicas	BRASSICA n pl. -S a tall herb
brassie brassies	BRASSIE n pl. -S a golf club
brassish	BRASSISH adj resembling brass
brassy brassily brassiest brassier	BRASSY adj BRASSIER, BRASSIEST resembling brass BRASSILY adv
brat brattish brats	BRAT n pl. -S a spoiled child BRATTISH adj
brattice brattices bratticing bratticed	BRATTICE v -TICED, -TICING, -TICES to partition
brattle brattles brattling brattled	BRATTLE v -TLED, -TLING, -TLES to clatter
bratty brattiest brattier	BRATTY adj -TIER, -TIEST resembling a brat
braunite braunites	BRAUNITE n pl. -S a mineral
brava bravas	BRAVA n pl. -S a shout of approval
bravado bravadoes bravados	BRAVADO n pl. -DOS or -DOES false bravery
brave bravely bravest braver	BRAVE adj BRAVER, BRAVEST showing courage BRAVELY adv
brave braves braving braved	BRAVE v BRAVED, BRAVING, BRAVES to face with courage
braver bravers	BRAVER n pl. -S one that braves
bravery braveries	BRAVERY n pl. -ERIES courage
bravest	BRAVEST superlative of brave
bravi	BRAVI a pl. of bravo
braving	BRAVING present participle of brave
bravo bravoes bravos	BRAVO n pl. -VOS or -VOES or> -VI a hired killer
bravo bravoing bravoed	BRAVO v -ED, -ING, -ES to applaud by shouting ``bravo''
bravura bravure bravuras	BRAVURA n pl. -RAS or -RE fine musical technique
braw brawest brawer	BRAW adj BRAWER, BRAWEST splendid
brawl brawls brawling brawled	BRAWL v -ED, -ING, -S to fight
brawler brawlers	BRAWLER n pl. -S a fighter
brawlie	BRAWLIE adv splendidly
brawly brawliest brawlier	BRAWLY adj BRAWLIER, BRAWLIEST inclined to brawl
brawn brawns	BRAWN n pl. -S muscular strength
brawny brawnily brawniest brawnier	BRAWNY adj BRAWNIER, BRAWNIEST muscular BRAWNILY adv
braws	BRAWS n/pl fine clothes
braxy braxies	BRAXY n pl. BRAXIES a fever of sheep
bray brays braying brayed	BRAY v BRAYED, BRAYING, BRAYS to utter a harsh cry
brayer brayers	BRAYER n pl. -S a roller used to spread ink
braza brazas	BRAZA n pl. -S a Spanish unit of length
braze brazes brazing brazed	BRAZE v BRAZED, BRAZING, BRAZES to solder together
brazen brazens brazening brazened	BRAZEN v -ED, -ING, -S to face boldly
brazenly	BRAZENLY adv boldly
brazer brazers	BRAZER n pl. -S one that brazes
brazier braziers	BRAZIER n pl. -S one who works in brass
brazil brazils	BRAZIL n pl. -S a dyewood
brazilin brazilins	BRAZILIN n pl. -S a chemical compound
brazing	BRAZING present participle of braze
breach breaches breaching breached	BREACH v -ED, -ING, -ES to break through
breacher breachers	BREACHER n pl. -S one that breaches
bread breads breading breaded	BREAD v -ED, -ING, -S to cover with crumbs of bread (a baked foodstuff made from flour)
breadbox breadboxes	BREADBOX n pl. -ES a container for bread
breadnut breadnuts	BREADNUT n pl. -S a tropical fruit
breadth breadths	BREADTH n pl. -S width
bready	BREADY adj resembling or characteristic of bread
break breaks breaking broken broke	BREAK v BROKE, BROKEN, BREAKING, BREAKS to reduce to fragments
breakage breakages	BREAKAGE n pl. -S the act of breaking
breaker breakers	BREAKER n pl. -S one that breaks
breaking breakings	BREAKING n pl. -S the change of a pure vowel to a diphthong
breakout breakouts	BREAKOUT n pl. -S an escape
breakup breakups	BREAKUP n pl. -S the act of breaking up
bream breams breaming breamed	BREAM v -ED, -ING, -S to clean a ship's bottom
breast breasts breasting breasted	BREAST v -ED, -ING, -S to confront boldly
breath breaths	BREATH n pl. -S air inhaled and exhaled
breathe breathes breathing breathed	BREATHE v BREATHED, BREATHING, BREATHES to inhale and exhale air
breather breathers	BREATHER n pl. -S one that breathes
breathy breathiest breathier	BREATHY adj BREATHIER, BREATHIEST marked by loud breathing
breccia breccial breccias	BRECCIA n pl. -S a type of rock BRECCIAL adj
brecham brechams	BRECHAM n pl. -S a collar for a horse
brechan brechans	BRECHAN n pl. -S brecham
bred	BRED past tense of breed
brede bredes	BREDE n pl. -S a braid
bree brees	BREE n pl. -S broth
breech breeches breeching breeched	BREECH v -ED, -ING, -ES to clothe with breeches (trousers)
breed breeds breeding	BREED v BRED, BREEDING, BREEDS to cause to give birth
breeder breeders	BREEDER n pl. -S one that breeds
breeding breedings	BREEDING n pl. -S upbringing
breeks	BREEKS n/pl breeches
breeze breezes breezing breezed	BREEZE v BREEZED, BREEZING, BREEZES to move swiftly
breezy breezily breeziest breezier	BREEZY adj BREEZIER, BREEZIEST windy BREEZILY adv
bregma bregmate bregmata	BREGMA n pl. -MATA a junction point of the skull BREGMATE adj
bren brens	BREN n pl. -S a submachine gun
brent brents	BRENT n pl. -S brant
brethren	BRETHREN a pl. of brother
breve breves	BREVE n pl. -S a symbol used to indicate a short vowel
brevet brevets brevetting brevetted breveting breveted	BREVET v -VETED, -VETING, -VETS or -VETTED, -VETTING, -VETS to confer an honorary rank upon
brevetcy brevetcies	BREVETCY n pl. -CIES an honorary rank
breviary breviaries	BREVIARY n pl. -RIES a prayer book
brevier breviers	BREVIER n pl. -S a size of type
brevity brevities	BREVITY n pl. -TIES shortness of duration
brew brews brewing brewed	BREW v -ED, -ING, -S to make beer or the like
brewage brewages	BREWAGE n pl. -S a brewed beverage
brewer brewers	BREWER n pl. -S one that brews
brewery breweries	BREWERY n pl. -ERIES a place for brewing
brewing brewings	BREWING n pl. -S a quantity brewed at one time
brewis brewises	BREWIS n pl. BREWISES broth
briar briary briars	BRIAR n pl. -S brier BRIARY adj
briard briards	BRIARD n pl. -S a large dog
bribe bribable bribes bribing bribed	BRIBE v BRIBED, BRIBING, BRIBES to practice bribery BRIBABLE adj
bribee bribees	BRIBEE n pl. -S one that is bribed
briber bribers	BRIBER n pl. -S one that bribes
bribery briberies	BRIBERY n pl. -ERIES an act of influencing corruptly
bribing	BRIBING present participle of bribe
brick bricks bricking bricked	BRICK v -ED, -ING, -S to build with bricks (blocks of clay)
brickbat brickbats	BRICKBAT n pl. -S a piece of brick
brickle brickles	BRICKLE n pl. -S a brittle candy
bricky brickiest brickier	BRICKY adj BRICKIER, BRICKIEST made of bricks
bricole bricoles	BRICOLE n pl. -S a cushion shot in billiards
bridal bridals	BRIDAL n pl. -S a wedding
bridally	BRIDALLY adv in a manner befitting a bride
bride brides	BRIDE n pl. -S a woman just married or about to be married
bridge bridges bridging bridged	BRIDGE v BRIDGED, BRIDGING, BRIDGES to connect
bridging bridgings	BRIDGING n pl. -S a bracing
bridle bridles bridling bridled	BRIDLE v -DLED, -DLING, -DLES to control with a restraint
bridler bridlers	BRIDLER n pl. -S one that bridles
bridoon bridoons	BRIDOON n pl. -S a device used to control a horse
brie bries	BRIE n pl. -S bree
brief briefest briefer	BRIEF adj BRIEFER, BRIEFEST short
brief briefs briefing briefed	BRIEF v -ED, -ING, -S to summarize
briefer briefers	BRIEFER n pl. -S one that briefs
briefing briefings	BRIEFING n pl. -S a short lecture
briefly	BRIEFLY adv in a brief manner
brier briery briers	BRIER n pl. -S a thorny shrub BRIERY adj
brig brigs	BRIG n pl. -S a two-masted ship
brigade brigades brigading brigaded	BRIGADE v -GADED, -GADING, -GADES to group together
brigand brigands	BRIGAND n pl. -S a bandit
bright brightly brightest brighter	BRIGHT adj BRIGHTER, BRIGHTEST emitting much light BRIGHTLY adv
bright brights	BRIGHT n pl. -S a light-hued tobacco
brighten brightens brightening brightened	BRIGHTEN v -ED, -ING, -S to make bright
brill brills	BRILL n pl. -S an edible flatfish
brim brims brimming brimmed	BRIM v BRIMMED, BRIMMING, BRIMS to fill to the top
brimful	BRIMFUL adj ready to overflow
brimfull	BRIMFULL adj brimful
brimless	BRIMLESS adj having no brim (an upper edge)
brimmed	BRIMMED past tense of brim
brimmer brimmers	BRIMMER n pl. -S a brimming cup or glass
brimming	BRIMMING present participle of brim
brin brins	BRIN n pl. -S a rib of a fan
brinded	BRINDED adj brindled
brindle brindles	BRINDLE n pl. -S a brindled color
brindled	BRINDLED adj streaked
brine brines brining brined	BRINE v BRINED, BRINING, BRINES to treat with brine (salted water)
briner briners	BRINER n pl. -S one that brines
bring brings bringing brought	BRING v BROUGHT, BRINGING, BRINGS to take with oneself to a place
bringer bringers	BRINGER n pl. -S one that brings
brinier	BRINIER comparative of briny
brinies	BRINIES pl. of briny
briniest	BRINIEST superlative of briny
brining	BRINING present participle of brine
brinish	BRINISH adj resembling brine
brink brinks	BRINK n pl. -S an extreme edge
briny	BRINY adj BRINIER, BRINIEST salty
briny	BRINY n pl. BRINIES the sea
brio brios	BRIO n pl. BRIOS liveliness
brioche brioches	BRIOCHE n pl. -S a rich roll
briony brionies	BRIONY n pl. -NIES bryony
briquet briquets briquetting briquetted	BRIQUET v -QUETTED, -QUETTING, -QUETS to mold into small bricks
bris brisses	BRIS n pl. BRISSES a Jewish circumcision rite
brisance brisant brisances	BRISANCE n pl. -S the shattering effect of an explosive BRISANT adj
brisk briskest brisker	BRISK adj BRISKER, BRISKEST lively
brisk brisks brisking brisked	BRISK v -ED, -ING, -S to make brisk
brisket briskets	BRISKET n pl. -S the breast of an animal
briskly	BRISKLY adv in a brisk manner
brisling brislings	BRISLING n pl. -S a small herring
brisses	BRISSES pl. of bris
bristle bristles bristling bristled	BRISTLE v -TLED, -TLING, -TLES to rise stiffly
bristly bristliest bristlier	BRISTLY adj -TLIER, -TLIEST stiffly erect
bristol bristols	BRISTOL n pl. -S a smooth cardboard
brit brits	BRIT n pl. -S a young herring
britches	BRITCHES n/pl breeches; trousers
britska britskas	BRITSKA n pl. -S an open carriage
britt britts	BRITT n pl. -S brit
brittle brittles brittling brittled	BRITTLE v -TLED, -TLING, -TLES to become brittle
brittle brittlest brittler	BRITTLE adj -TLER, -TLEST likely to break
brittly	BRITTLY adv in a brittle manner
britzka britzkas	BRITZKA n pl. -S britska
britzska britzskas	BRITZSKA n pl. -S britska
bro bros	BRO n pl. BROS a brother
broach broaches broaching broached	BROACH v -ED, -ING, -ES to pierce so as to withdraw a liquid
broacher broachers	BROACHER n pl. -S one that broaches
broad broadest broader	BROAD adj BROADER, BROADEST wide
broad broads	BROAD n pl. -S an expansion of a river
broadax broadaxes	BROADAX n pl. -ES a broad-edged ax
broadaxe	BROADAXE n pl. -S broadax
broaden broadens broadening broadened	BROADEN v -ED, -ING, -S to make broad
broadish	BROADISH adj somewhat broad
broadly	BROADLY adv in a broad manner
brocade brocades brocading brocaded	BROCADE v -CADED, -CADING, -CADES to weave with a raised design
brocatel brocatels	BROCATEL n pl. -S a heavy fabric
broccoli broccolis	BROCCOLI n pl. -S a vegetable related to the cabbage
broche	BROCHE adj brocaded
brochure brochures	BROCHURE n pl. -S a pamphlet
