# 🚨
# 🚨 Source: https://wolfberg.net/what/CSWdefs.exe::CSWdefs.txt
# 🚨
	CSW12 (2018-6-27)
above	ABOVE something in a higher position [n -S]
aboveboard	ABOVEBOARD Above the board or table. Hence: in open sight; without trick, concealment, or deception.
aboveground	ABOVEGROUND situated or taking place on or above the surface of the ground: aboveground nuclear testing.
aboves	ABOVES <above=n> [n]
abracadabra	ABRACADABRA a mystical word or collocation of letters written as in the figure. Worn on an amulet it was supposed to ward off fever. At present the word is used chiefly in jest to denote something without meaning; jargon.
abracadabras	ABRACADABRAS <abracadabra=n> [n]
abrachia	ABRACHIA a lack of arms [n -S]
abrachias	ABRACHIAS <abrachia=n> [n]
abradable	ABRADABLE capable of being abraded (worn away by friction) [adj]
abradant	ABRADANT an {abrasive=n} [n -S]
abradants	ABRADANTS <abradant=n> [n]
abrade	ABRADE to wear away by friction [v ABRADED, ABRADING, ABRADES] : ABRADABLE [adj], ABRADANT, ABRADER, ABRASION, ABRASIVE, ABRASIVENESS [n], ABRASIVELY [adv]
abraded	ABRADED <abrade=v> [v]
abrader	ABRADER a tool for abrading [n -S]
abraders	ABRADERS <abrader=n> [n]
abrades	ABRADES <abrade=v> [v]
abrading	ABRADING <abrade=v> [v]
abraid	ABRAID to {awake=v} [v -ED, -ING, -S]
abraided	ABRAIDED <abraid=v> [v]
abraiding	ABRAIDING <abraid=v> [v]
abraids	ABRAIDS <abraid=v> [v]
abram	ABRAM auburn [adj]
abranchial	ABRANCHIAL Abranchiate.
abranchiate	ABRANCHIATE without gills.
abrasax	ABRASAX a mystic word, also ABRAXAS [n -ES]
abrasaxes	ABRASAXES <abrasax=n> [n]
abrasion	ABRASION a graze on the skin [n -S]
abrasions	ABRASIONS <abrasion=n> [n]
abrasive	ABRASIVE an abrading substance [n -S]
abrasively	ABRASIVELY ABRASIVE an abrading substance
abrasiveness	ABRASIVENESS ABRASIVE an abrading substance
abrasivenesses	ABRASIVENESSES <abrasiveness=n> [n]
abrasives	ABRASIVES <abrasive=n> [n]
abraxas	ABRAXAS a mystic word, also ABRASAX [n -ES]
abraxases	ABRAXASES <abraxas=n> [n]
abray	ABRAY to {awake=v} [v -ED, -ING, -S]
abrayed	ABRAYED <abray=v> [v]
abraying	ABRAYING <abray=v> [v]
abrays	ABRAYS <abray=v> [v]
abrazo	ABRAZO an embrace [n -S]
abrazos	ABRAZOS <abrazo=n> [n]
abreact	ABREACT to treat post-traumatic stress through abreaction (reliving the traumatic experience) [v -ED, -ING, -S]
abreacted	ABREACTED <abreact=v> [v]
abreacting	ABREACTING <abreact=v> [v]
abreaction	ABREACTION the purging of emotional tensions. See Catharsis, below.
abreactions	ABREACTIONS <abreaction=n> [n]
abreactive	ABREACTIVE ABREACT the treating of a neurosis by reliving the cause
abreacts	ABREACTS <abreact=v> [v]
abreast	ABREAST side by side [adv]
abrege	ABREGE an abridgement [n -S]
abreges	ABREGES <abrege=n> [n]
abri	ABRI a bomb shelter [n -S]
abricock	ABRICOCK an {apricot=n} [n -S]
abricocks	ABRICOCKS <abricock=n> [n]
abridgable	ABRIDGABLE ABRIDGE to {shorten=v}
abridge	ABRIDGE to {shorten=v} [v ABRIDGED, ABRIDGING, ABRIDGES] : ABRIDGER, ABRIDGMENT [n]
abridgeable	ABRIDGEABLE ABRIDGE to {shorten=v}
abridged	ABRIDGED <abridge=v> [v]
abridgement	ABRIDGEMENT a shortened version.
abridgements	ABRIDGEMENTS <abridgement=n> [n]
abridger	ABRIDGER one who {abridges=v} [n -S]
abridgers	ABRIDGERS <abridger=n> [n]
abridges	ABRIDGES <abridge=v> [v]
abridging	ABRIDGING <abridge=v> [v]
abridgment	ABRIDGMENT the act abridging, or the state of being abridged; diminution; lessening; reduction or deprivation; as, an abridgment of pleasures or of expenses.
abridgments	ABRIDGMENTS <abridgment=n> [n]
abrim	ABRIM in a brimming state [adv]
abrin	ABRIN a poisonous protein [n -S]
abrins	ABRINS <abrin=n> [n]
abris	ABRIS <abri=n> [n]
abroach	ABROACH {astir=adj} [adj]
abroad	ABROAD anywhere foreign [n -S]
abroads	ABROADS <abroad=n> [n]
abrogable	ABROGABLE capable of being {abrogated=v} [adj]
abrogate	ABROGATE to {rescind=v} [v ABROGATED, ABROGATING, ABROGATES]
abrogated	ABROGATED <abrogate=v> [v]
abrogates	ABROGATES <abrogate=v> [v]
abrogating	ABROGATING <abrogate=v> [v]
abrogation	ABROGATION the act of abrogating; repeal by authority.
abrogations	ABROGATIONS <abrogation=n> [n]
abrogative	ABROGATIVE tending or designed to abrogate; as, an abrogative law.
abrogator	ABROGATOR one who {abrogates=v} [n -S]
abrogators	ABROGATORS <abrogator=n> [n]
abrooke	ABROOKE an erroneous spelling of Shakespeare's "abrook*" (to brook; to tolerate or endure) found in late 20th century editions of Chambers [v ABROOKED, ABROOKING, ABROOKES]
abrooked	ABROOKED <abrooke=v> [v]
abrookes	ABROOKES <abrooke=v> [v]
abrooking	ABROOKING <abrooke=v> [v]
abrosia	ABROSIA a {fasting=n} [n -S]
abrosias	ABROSIAS <abrosia=n> [n]
abrupt	ABRUPT an {abyss=n} [n -S] / short and rude in manner [adj ABRUPTER, ABRUPTEST]
abrupter	ABRUPTER <abrupt=adj> [adj]
abruptest	ABRUPTEST <abrupt=adj> [adj]
abruption	ABRUPTION a sudden, violent separation [n -S]
abruptions	ABRUPTIONS <abruption=n> [n]
abruptly	ABRUPTLY in an abrupt manner [adv]
abruptness	ABRUPTNESS the state of being abrupt or broken; craggedness; ruggedness; steepness.
abruptnesses	ABRUPTNESSES <abruptness=n> [n]
abrupts	ABRUPTS <abrupt=n> [n]
abs	ABS <ab=n> [n]
abscess	ABSCESS to become infected with pus [v -ED, -ING, -ES]
abscessed	ABSCESSED <abscess=v> [v]
abscesses	ABSCESSES <abscess=v> [v]
abscessing	ABSCESSING <abscess=v> [v]
abscind	ABSCIND to cut off [v -ED, -ING, -S]
abscinded	ABSCINDED <abscind=v> [v]
abscinding	ABSCINDING <abscind=v> [v]
abscinds	ABSCINDS <abscind=v> [v]
abscise	ABSCISE to cut off [v ABSCISED, ABSCISING, ABSCISES]
abscised	ABSCISED <abscise=v> [v]
abscises	ABSCISES <abscise=v> [v]
abscisic	ABSCISIC as in abscisic acid [adj]
abscisin	ABSCISIN abscisic* acid, a plant hormone, also ABSCISSIN, DORMIN [n -S]
abscising	ABSCISING <abscise=v> [v]
abscisins	ABSCISINS <abscisin=n> [n]
absciss	ABSCISS the x co-ordinate of a graph, also ABSCISSA, ABSCISSE [n -ES]
abscissa	ABSCISSA a measure of horizontal distance from the origin, also ABSCISS, ABSCISSE [n ABSCISSAS or ABSCISSAE]
abscissae	ABSCISSAE <abscissa=n> [n]
abscissas	ABSCISSAS <abscissa=n> [n]
abscisse	ABSCISSE the x co-ordinate of a graph, also ABSCISSA, ABSCISS [n -S]
abscisses	ABSCISSES <absciss=n> [n]
abscissin	ABSCISSIN abscisic* acid, a plant hormone, also ABSCISIN, DORMIN [n -S]
abscissins	ABSCISSINS <abscissin=n> [n]
abscission	ABSCISSION the act or process of cutting off.
abscissions	ABSCISSIONS <abscission=n> [n]
abscond	ABSCOND to depart suddenly and secretly [v -ED, -ING, -S]
absconded	ABSCONDED <abscond=v> [v]
abscondence	ABSCONDENCE Fugitive concealment; secret retirement; hiding.
abscondences	ABSCONDENCES <abscondence=n> [n]
absconder	ABSCONDER one who {absconds=v} [n -S]
absconders	ABSCONDERS <absconder=n> [n]
absconding	ABSCONDING <abscond=v> [v]
absconds	ABSCONDS <abscond=v> [v]
abseil	ABSEIL to lower oneself using a rope [v -ED, -ING, -S]
abseiled	ABSEILED <abseil=v> [v]
abseiling	ABSEILING <abseil=v> [v]
abseilings	ABSEILINGS <abseiling=n> [n]
abseils	ABSEILS <abseil=v> [v]
absence	ABSENCE the state of being away [n -S]
absences	ABSENCES <absence=n> [n]
absent	ABSENT to keep away [v -ED, -ING, -S]
absented	ABSENTED <absent=v> [v]
absentee	ABSENTEE one who is not present [n -S]
absenteeism	ABSENTEEISM the state or practice of an absentee; esp. the practice of absenting one's self from the country or district where one's estate is situated.
absenteeisms	ABSENTEEISMS <absenteeism=n> [n]
absentees	ABSENTEES <absentee=n> [n]
absenter	ABSENTER one who keeps away [n -S]
absenters	ABSENTERS <absenter=n> [n]
absenting	ABSENTING <absent=v> [v]
absently	ABSENTLY in an inattentive way [adv]
absentminded	ABSENTMINDED absent in mind; abstracted; preoccupied.
absentmindedly	ABSENTMINDEDLY <absentminded=adj> [adv]
absents	ABSENTS <absent=v> [v]
absey	ABSEY the alphabet, also ABCEE [n -S]
abseys	ABSEYS <absey=n> [n]
absinth	ABSINTH a bitter liqueur [n -S]
absinthe	ABSINTHE a bitter liqueur [n -S]
absinthes	ABSINTHES <absinthe=n> [n]
absinthiated	ABSINTHIATED impregnated with wormwood; as, absinthiated wine.
absinthism	ABSINTHISM the condition of being poisoned by the excessive use of absinth.
absinthisms	ABSINTHISMS <absinthism=n> [n]
absinths	ABSINTHS <absinth=n> [n]
absit	ABSIT an overnight pass from college [n -S]
absits	ABSITS <absit=n> [n]
absolute	ABSOLUTE unconditional; perfect; non-relative; fundamental [adj ABSOLUTER ABSOLUTEST] / a fundamental principle [n -S]
absolutely	ABSOLUTELY in an absolute, independent, or unconditional manner; wholly; positively.
absoluteness	ABSOLUTENESS the quality of being absolute; independence of everything extraneous; unlimitedness; absolute power; independent reality; positiveness.
absolutenesses	ABSOLUTENESSES <absoluteness=n> [n]
absoluter	ABSOLUTER <absolute=adj> [adj]
absolutes	ABSOLUTES <absolute=n> [n]
absolutest	ABSOLUTEST Perfect in quality or nature; complete.
absolution	ABSOLUTION an absolving, or setting free from guilt, sin, or penalty; forgiveness of an offense.
absolutions	ABSOLUTIONS <absolution=n> [n]
absolutise	ABSOLUTISE ABSOLUTE self-existent
absolutised	ABSOLUTISED ABSOLUTISE
absolutises	ABSOLUTISES <absolutise=n> [n]
absolutising	ABSOLUTISING ABSOLUTISE
absolutism	ABSOLUTISM the state of being absolute; the system or doctrine of the absolute; the principles or practice of absolute or arbitrary government; despotism.
absolutisms	ABSOLUTISMS <absolutism=n> [n]
absolutist	ABSOLUTIST one who is in favor of an absolute or autocratic government.
absolutistic	ABSOLUTISTIC pertaining to absolutism; absolutist.
absolutists	ABSOLUTISTS <absolutist=n> [n]
absolutive	ABSOLUTIVE ABSOLUTE self-existent
absolutize	ABSOLUTIZE ABSOLUTE self-existent
absolutized	ABSOLUTIZED ABSOLUTIZE
absolutizes	ABSOLUTIZES <absolutize=n> [n]
absolutizing	ABSOLUTIZING ABSOLUTIZE
absolutory	ABSOLUTORY serving to absolve; absolving.
absolvable	ABSOLVABLE that may be absolved.
absolve	ABSOLVE to {pardon=v} [v ABSOLVED, ABSOLVING, ABSOLVES]
absolved	ABSOLVED <absolve=v> [v]
absolvent	ABSOLVENT one who {absolves=v}, also ABSOLVER [n -S]
absolvents	ABSOLVENTS <absolvent=n> [n]
absolver	ABSOLVER one who {pardons=v} [n -S]
absolvers	ABSOLVERS <absolver=n> [n]
absolves	ABSOLVES <absolve=v> [v]
absolving	ABSOLVING <absolve=v> [v]
absolvitor	ABSOLVITOR ABSOLVE to {pardon=v}
absolvitors	ABSOLVITORS <absolvitor=n> [n]
absonant	ABSONANT unreasonable [adj]
absorb	ABSORB to gather and hold another substance within, compare ADSORB, SORB, DESORB [v -ED, -ING, -S]
absorbabilities	ABSORBABILITIES <absorbability=n> [n]
absorbability	ABSORBABILITY the state or quality of being absorbable.
absorbable	ABSORBABLE capable of being absorbed or swallowed up.
absorbance	ABSORBANCE (Physics / General Physics) Physics a measure of the light-absorbing ability of an object, expressed as the logarithm to base 10 of the reciprocal of the internal transmittance see transmittance ACIDOMETER (Chemistry) a type of hydro ...
absorbances	ABSORBANCES <absorbance=n> [n]
absorbancies	ABSORBANCIES <absorbancy=n> [n]
absorbancy	ABSORBANCY ABSORB to suck in, also SORB
absorbant	ABSORBANT one that {absorbs=v}, also ABSORBATE, ABSORBENT, ABSORBER [n -S]
absorbants	ABSORBANTS <absorbant=n> [n]
absorbate	ABSORBATE one that {absorbs=v}, also ABSORBANT, ABSORBENT, ABSORBER; one that is absorbed [n -S]
absorbates	ABSORBATES <absorbate=n> [n]
absorbed	ABSORBED <absorb=v> [v]
absorbedly	ABSORBEDLY in a manner as if wholly engrossed or engaged.
absorbefacient	ABSORBEFACIENT inducing or promoting absorption
absorbefacients	ABSORBEFACIENTS <absorbefacient=n> [n]
absorbencies	ABSORBENCIES <absorbency=n> [n]
absorbency	ABSORBENCY absorptiveness.
absorbent	ABSORBENT one that {absorbs=v}, also ABSORBANT, ABSORBATE, ABSORBER [n -S]
absorbents	ABSORBENTS <absorbent=n> [n]
absorber	ABSORBER one that {absorbs=v}, also ABSORBANT, ABSORBATE, ABSORBENT [n -S]
absorbers	ABSORBERS <absorber=n> [n]
absorbing	ABSORBING <absorb=v> [v]
absorbingly	ABSORBINGLY <absorbing=adj> [adv]
absorbs	ABSORBS <absorb=v> [v]
absorptance	ABSORPTANCE the ratio of absorbed to incident radiation.
absorptances	ABSORPTANCES <absorptance=n> [n]
absorptiometer	ABSORPTIOMETER
absorptiometers	ABSORPTIOMETERS <absorptiometer=n> [n]
absorption	ABSORPTION the act or process of absorbing or sucking in anything, or of being absorbed and made to disappear; as, the absorption of bodies in a whirlpool, the absorption of a smaller tribe into a larger.
absorptions	ABSORPTIONS <absorption=n> [n]
absorptive	ABSORPTIVE having power, capacity, or tendency to absorb or imbibe.
absorptiveness	ABSORPTIVENESS the quality of being absorptive; absorptive power.
absorptivities	ABSORPTIVITIES <absorptivity=n> [n]
absorptivity	ABSORPTIVITY absorptiveness.
absquatulate	ABSQUATULATE to take one's self off; to decamp.
absquatulated	ABSQUATULATED ABSQUATULATE to take one's self off; to decamp.
absquatulates	ABSQUATULATES <absquatulate=n> [n]
absquatulating	ABSQUATULATING ABSQUATULATE to take one's self off; to decamp.
abstain	ABSTAIN to refrain from [v -ED, -ING, -S]
abstained	ABSTAINED <abstain=v> [v]
abstainer	ABSTAINER one who {abstains=v} [n -S]
abstainers	ABSTAINERS <abstainer=n> [n]
abstaining	ABSTAINING <abstain=v> [v]
abstains	ABSTAINS <abstain=v> [v]
abstemious	ABSTEMIOUS abstaining from wine.
abstemiously	ABSTEMIOUSLY <abstemious=adj> [adv]
abstemiousness	ABSTEMIOUSNESS the quality of being abstemious, temperate, or sparing in the use of food and strong drinks. It expresses a greater degree of abstinence than temperance. temperance.
abstention	ABSTENTION the act of abstaining; a holding aloof.
abstentionism	ABSTENTIONISM ABSTENTION the act of abstaining; a holding aloof.
abstentionisms	ABSTENTIONISMS <abstentionism=n> [n]
abstentionist	ABSTENTIONIST ABSTENTION the act of abstaining; a holding aloof.
abstentionists	ABSTENTIONISTS <abstentionist=n> [n]
abstentions	ABSTENTIONS <abstention=n> [n]
abstentious	ABSTENTIOUS characterized by abstinence; selfrestraining.
absterge	ABSTERGE to cleanse by wiping [v ABSTERGED, ABSTERGING, ABSTERGES]
absterged	ABSTERGED <absterge=v> [v]
abstergent	ABSTERGENT serving to cleanse, detergent.
abstergents	ABSTERGENTS <abstergent=n> [n]
absterges	ABSTERGES <absterge=v> [v]
absterging	ABSTERGING <absterge=v> [v]
abstersion	ABSTERSION act of wiping clean; a cleansing; a purging.
abstersions	ABSTERSIONS <abstersion=n> [n]
abstersive	ABSTERSIVE Cleansing; purging.
abstersives	ABSTERSIVES <abstersive=n> [n]
abstinence	ABSTINENCE the act or practice of abstaining; voluntary forbearance of any action, especially the refraining from an indulgence of appetite, or from customary gratifications of animal or sensual propensities. Specifically, the practice of absta
abstinences	ABSTINENCES <abstinence=n> [n]
abstinencies	ABSTINENCIES <abstinency=n> [n]
abstinency	ABSTINENCY abstinence.
abstinent	ABSTINENT {abstaining=v} [adj]
abstinently	ABSTINENTLY with abstinence.
abstract	ABSTRACT to draw away [v -ED, -ING, -S] / difficult to understand [adj ABSTRACTER, ABSTRACTEST]
abstractable	ABSTRACTABLE ABSTRACT to draw away
abstracted	ABSTRACTED <abstract=v> [v]
abstractedly	ABSTRACTEDLY in an abstracted manner; separately; with absence of mind.
abstractedness	ABSTRACTEDNESS the state of being abstracted; abstract character.
abstracter	ABSTRACTER <abstract=adj> [adj]
abstracters	ABSTRACTERS <abstracter=n> [n]
abstractest	ABSTRACTEST <abstract=adj> [adj]
abstracting	ABSTRACTING <abstract=v> [v]
abstraction	ABSTRACTION the act of abstracting, separating, or withdrawing, or the state of being withdrawn; withdrawal.
abstractional	ABSTRACTIONAL pertaining to abstraction.
abstractionism	ABSTRACTIONISM ABSTRACTION the act of abstracting, separating, or withdrawing, or the state of being withdrawn; withdrawal.
abstractionisms	ABSTRACTIONISMS <abstractionism=n> [n]
abstractionist	ABSTRACTIONIST an idealist.
abstractionists	ABSTRACTIONISTS <abstractionist=n> [n]
abstractions	ABSTRACTIONS <abstraction=n> [n]
abstractive	ABSTRACTIVE having the power of abstracting; of an abstracting nature.
abstractively	ABSTRACTIVELY in a abstract manner; separately; in or by itself.
abstractives	ABSTRACTIVES <abstractive=n> [n]
abstractly	ABSTRACTLY in an abstract state or manner; separately; absolutely; by itself; as, matter abstractly considered.
abstractness	ABSTRACTNESS the quality of being abstract.
abstractnesses	ABSTRACTNESSES <abstractness=n> [n]
abstractor	ABSTRACTOR ABSTRACT to draw away
abstractors	ABSTRACTORS <abstractor=n> [n]
abstracts	ABSTRACTS <abstract=v> [v]
abstrict	ABSTRICT to set free by constriction [v -ED, -ING, -S]
abstricted	ABSTRICTED <abstrict=v> [v]
abstricting	ABSTRICTING <abstrict=v> [v]
abstriction	ABSTRICTION ABSTRICT to set free by constriction
abstrictions	ABSTRICTIONS <abstriction=n> [n]
abstricts	ABSTRICTS <abstrict=v> [v]
abstruse	ABSTRUSE difficult to understand [adj ABSTRUSER, ABSTRUSEST]
abstrusely	ABSTRUSELY in an abstruse manner.
abstruseness	ABSTRUSENESS the quality of being abstruse; difficulty of apprehension.
abstrusenesses	ABSTRUSENESSES <abstruseness=n> [n]
abstruser	ABSTRUSER <abstruse=adj> [adj]
abstrusest	ABSTRUSEST <abstruse=adj> [adj]
abstrusities	ABSTRUSITIES <abstrusity=n> [n]
abstrusity	ABSTRUSITY abstruseness; that which is abstruse.
absurd	ABSURD the condition of man's existence in an irrational universe [n -S] / ridiculous [adj ABSURDER, ABSURDEST]
absurder	ABSURDER <absurd=adj> [adj]
absurdest	ABSURDEST <absurd=adj> [adj]
absurdism	ABSURDISM a philosophy of the {absurd=n} [n -S]
absurdisms	ABSURDISMS <absurdism=n> [n]
absurdist	ABSURDIST an advocate of {absurdism=n} [n -S]
absurdists	ABSURDISTS <absurdist=n> [n]
absurdities	ABSURDITIES <absurdity=n> [n]
absurdity	ABSURDITY something that is {absurd=adj} [n -S]
absurdly	ABSURDLY in an absurd manner [adv]
absurdness	ABSURDNESS absurdity.
absurdnesses	ABSURDNESSES <absurdness=n> [n]
absurds	ABSURDS <absurd=n> [n]
abthane	ABTHANE a monastic territory [n -S]
abthanes	ABTHANES <abthane=n> [n]
abubble	ABUBBLE bubbling [adj]
abuilding	ABUILDING being {built=v} [adv]
abulia	ABULIA loss of will power [n -S]
abulias	ABULIAS <abulia=n> [n]
abulic	ABULIC pertaining to loss of willpower [adj]
abuna	ABUNA an Ethiopian patriarch [n -S]
abunas	ABUNAS <abuna=n> [n]
abundance	ABUNDANCE plenty, also ABUNDANCY [n -S]
abundances	ABUNDANCES <abundance=n> [n]
abundancies	ABUNDANCIES <abundancy=n> [n]
abundancy	ABUNDANCY plenty, also ABUNDANCE [n ABUNDANCIES]
abundant	ABUNDANT in great plenty [adj present]
abundantly	ABUNDANTLY in a sufficient degree; fully; amply; plentifully; in large measure.
abune	ABUNE Scots form of above [prep]
aburst	ABURST in a bursting condition [adv]
abusable	ABUSABLE able to be abused [adj]
abusage	ABUSAGE wrong use of words [n -S]
abusages	ABUSAGES <abusage=n> [n]
abuse	ABUSE to revile or swear at [v ABUSED, ABUSING, ABUSES]
abused	ABUSED <abuse=v> [v]
abuser	ABUSER one who {abuses=v} [n -S]
abusers	ABUSERS <abuser=n> [n]
abuses	ABUSES <abuse=v> [v]
abusing	ABUSING <abuse=v> [v]
abusion	ABUSION misuse [n -S]
abusions	ABUSIONS <abusion=n> [n]
abusive	ABUSIVE in the manner of wrong or improper use [adj]
abusively	ABUSIVELY in an {abusive=adj} manner [adv]
abusiveness	ABUSIVENESS the quality of being abusive; rudeness of language, or violence to the person.
abusivenesses	ABUSIVENESSES <abusiveness=n> [n]
abut	ABUT to {border=v} [v ABUTTED, ABUTTING, ABUTS]
abutilon	ABUTILON a flowering plant [n -S]
abutilons	ABUTILONS <abutilon=n> [n]
abutment	ABUTMENT a {junction=n} [n -S]
abutments	ABUTMENTS <abutment=n> [n]
abuts	ABUTS <abut=v> [v]
abuttal	ABUTTAL a {junction=n} [n -S]
abuttals	ABUTTALS <abuttal=n> [n]
abutted	ABUTTED <abut=v> [v]
abutter	ABUTTER that which abuts [n -S]
abutters	ABUTTERS <abutter=n> [n]
abutting	ABUTTING <abut=v> [v]
abuzz	ABUZZ buzzing [adj]
abvolt	ABVOLT a unit of electromotive force [n -S]
abvolts	ABVOLTS <abvolt=n> [n]
abwatt	ABWATT a unit of power [n -S]
abwatts	ABWATTS <abwatt=n> [n]
aby	ABY to pay the penalty [v ABOUGHT, ABYING, ABYS or ABIES]
