# 🚨
# 🚨 Source: https://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/subtlexus5.zip::SUBTLEXusrawdata.dat
# 🚨
Word	FREQcount	CDcount
-Mrs	3	3
-Ms	1	1
-much	2	1
-Muller	1	1
-Murder	1	1
-my	13	5
-My	11	11
-Myra	1	1
-myself	1	1
-N-	2	1
-N-G-Y-	1	1
-N-I-	1	1
-n-s-m	1	1
-Na	1	1
-nam	1	1
-nanny	1	1
-nation	1	1
-Nature	1	1
-Nazi	2	1
-nd	1	1
-near	1	1
-neg	3	2
-Negative	5	3
-Neither	1	1
-Never	2	2
-News	1	1
-Next	2	2
-nice	1	1
-Nice	3	3
-night	2	1
-Night	2	2
-nine-tails	2	2
-Nine-Tails	2	2
-nine	1	1
-Nine	2	2
-niner-	2	2
-Niner-	7	1
-niner	4	2
-Niner	1	1
-nipple	1	1
-NO-DATE	1	1
-no	1	1
-No	91	38
-none	1	1
-noon	1	1
-Noons	1	1
-Nope	3	3
-nor	1	1
-North	1	1
-Not	16	11
-nothing	3	3
-Nothing	3	3
-Nov-	1	1
-now	2	2
-Now	5	5
-Nthe	1	1
-number	1	1
-Number	1	1
-nyms	1	1
-o	6	4
-O	19	16
-obby	1	1
-odd	26	25
-of	2	2
-Of	6	6
-off	2	2
-Off	1	1
-offended	1	1
-Officer	1	1
-offshore	1	1
-oh	1	1
-Oh	72	31
-ohm	1	1
-oink	1	1
-Ok	3	2
-OK	4	4
-Okay	29	15
-ology	2	1
-on-	1	1
-On	3	2
-once	1	1
-Once	1	1
-one	3	3
-One	7	4
-Only	3	2
-Ooh	2	2
-Oooo	1	1
-Open	2	2
-or	1	1
-Or	3	3
-Order	1	1
-Orgy	1	1
-ought	2	2
-Oui	3	3
-ounce	19	17
-Ounce	1	1
-ouncer	1	1
-ouncers	1	1
-Our	2	2
-out-of-work-act	1	1
-out	1	1
-over	1	1
-Over	3	2
-Overblown	1	1
-Overrated	2	1
-overseeing	1	1
-Overvalued	1	1
-Ow	3	2
-P	2	1
-pack-a-day	2	2
-pack-year	1	1
-pack	15	13
-packs	1	1
-page	22	21
-Paint	1	1
-Pan	1	1
-Papers	1	1
-par	1	1
-Pardon	1	1
-PASS	1	1
-passenger	1	1
-Passin	1	1
-pation	1	1
-Paul-	2	1
-Pay	1	1
-Paycheck	1	1
-Pearl	1	1
-percent	21	20
-Perhaps	1	1
-Period	1	1
-PERM	1	1
-Perry	1	1
-persecute	1	1
-person	6	6
-Phantom	1	1
-phase	1	1
-Philadelphia	1	1
-photograph	1	1
-Pick	2	2
-picture	2	2
-piece	18	13
-Pitch	1	1
-placed	2	2
-planes	1	1
-Play	1	1
-Please	9	8
-Pleasure	1	1
-plex	1	1
-PlTY	1	1
-plus-foot	1	1
-plus	21	20
-poin	1	1
-point-	1	1
-point	36	31
-Point	1	1
-pointed	1	1
-pointer	3	3
-Polo	1	1
-Pop	1	1
-Pope	1	1
-poster	1	1
-pound	136	121
-pounder	8	6
-pounders	3	3
-Powerless	1	1
-PQ	2	1
-Praying	1	1
-prep	1	1
-President	1	1
-Priv	1	1
-Proceed	1	1
